Year,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,Violent Crime rate,Murder and nonnegligent manslaughter rate,rape rate,Robbery rate,Aggravated assault rate
1988,12,44021,58,0,8,4,46,1587,223,1302,62,3605.1,506.6,2957.7,140.8,131.8,0.0,18.2,9.1,104.5
1989,12,43840,50,1,10,9,30,1477,248,1186,43,3369.1,565.7,2705.3,98.1,114.1,2.3,22.8,20.5,68.4
1990,12,47198,72,0,27,13,32,1464,182,1219,63,3101.8,385.6,2582.7,133.5,152.5,0.0,57.2,27.5,67.8
1992,12,47796,35,1,8,5,21,1480,186,1270,24,3096.5,389.2,2657.1,50.2,73.2,2.1,16.7,10.5,43.9
1993,12,46854,43,1,16,5,21,1602,144,1389,69,3419.1,307.3,2964.5,147.3,91.8,2.1,34.1,10.7,44.8
1994,12,47103,57,0,14,3,40,1652,205,1392,55,3507.2,435.2,2955.2,116.8,121.0,0.0,29.7,6.4,84.9
1995,12,46776,48,0,5,4,39,1625,150,1418,57,3474.0,320.7,3031.5,121.9,102.6,0.0,10.7,8.6,83.4
1996,12,46940,38,0,11,2,25,1478,146,1272,60,3148.7,311.0,2709.8,127.8,81.0,0.0,23.4,4.3,53.3
1997,12,46940,36,1,6,1,28,1264,136,1085,43,2692.8,289.7,2311.5,91.6,76.7,2.1,12.8,2.1,59.7
1998,12,47884,38,0,16,3,19,1013,112,845,56,2115.5,233.9,1764.7,116.9,79.4,0.0,33.4,6.3,39.7
1999,12,48533,30,1,7,5,17,1708,82,1591,35,3519.3,169.0,3278.2,72.1,61.8,2.1,14.4,10.3,35.0
2000,12,50731,70,0,16,9,45,1522,93,1380,49,3000.1,183.3,2720.2,96.6,138.0,0.0,31.5,17.7,88.7
2001,12,50676,100,1,13,14,72,1408,177,1160,71,2778.4,349.3,2289.1,140.1,197.3,2.0,25.7,27.6,142.1
2002,12,50912,134,0,35,13,86,1941,244,1624,73,3812.5,479.3,3189.8,143.4,263.2,0.0,68.7,25.5,168.9
2003,12,51040,279,0,25,7,247,1738,215,1437,86,3405.2,421.2,2815.4,168.5,546.6,0.0,49.0,13.7,483.9
2004,12,53472,129,0,22,13,94,1582,389,1112,81,2958.6,727.5,2079.6,151.5,241.2,0.0,41.1,24.3,175.8
2005,12,52529,98,0,14,14,70,1537,465,1028,44,2926.0,885.2,1957.0,83.8,186.6,0.0,26.7,26.7,133.3
2006,12,52541,147,0,24,17,106,1465,363,1061,41,2788.3,690.9,2019.4,78.0,279.8,0.0,45.7,32.4,201.7
2007,12,51622,200,2,18,12,168,1603,500,1041,62,3105.3,968.6,2016.6,120.1,387.4,3.9,34.9,23.2,325.4
2008,12,55249,173,4,26,10,133,1636,346,1228,62,2961.1,626.3,2222.7,112.2,313.1,7.2,47.1,18.1,240.7
2009,12,57173,177,0,23,15,139,1613,279,1285,49,2821.3,488.0,2247.6,85.7,309.6,0.0,40.2,26.2,243.1
2010,12,58965,177,1,24,10,142,1556,289,1217,50,2638.9,490.1,2063.9,84.8,300.2,1.7,40.7,17.0,240.8
2011,12,59274,178,0,18,10,150,1670,351,1263,56,2817.4,592.2,2130.8,94.5,300.3,0.0,30.4,16.9,253.1
2012,12,59271,78,0,32,7,39,1454,291,1132,31,2453.1,491.0,1909.9,52.3,131.6,0.0,54.0,11.8,65.8
2013,12,61193,94,0,35,11,48,1442,224,1183,35,2356.5,366.1,1933.2,57.2,153.6,0.0,57.2,18.0,78.4
2014,12,62514,75,0,23,15,37,1117,191,901,25,1786.8,305.5,1441.3,40.0,120.0,0.0,36.8,24.0,59.2